Symbol,Name,AUM,Avg Daily Share Volume (3mo)
XLE,Energy Select Sector SPDR Fund,"$27,342,900.00 ","15,609,403"
OEF,iShares S&P 100 ETF,"$26,987,700.00 ","445,678"
VGK,Vanguard FTSE Europe ETF,"$26,941,500.00 ","2,715,575"
XLC,Communication Services Select Sector SPDR Fund,"$26,770,200.00 ","5,958,708"
TQQQ,ProShares UltraPro QQQ,"$26,761,800.00 ","57,260,688"
DYNF,iShares U.S. Equity Factor Rotation Active ETF,"$26,326,200.00 ","2,728,523"
EFV,iShares MSCI EAFE Value ETF,"$26,316,600.00 ","3,032,517"
JAAA,Janus Henderson AAA CLO ETF,"$25,643,900.00 ","5,471,180"
BIV,Vanguard Intermediate-Term Bond ETF,"$25,513,200.00 ","1,381,211"
USHY,iShares Broad USD High Yield Corporate Bond ETF,"$25,441,900.00 ","9,825,072"
IUSG,iShares Core S&P U.S. Growth ETF,"$25,292,700.00 ","379,351"
VXF,Vanguard Extended Market ETF,"$24,191,400.00 ","611,657"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$24,183,000.00 ","5,897,635"
SHY,iShares 1-3 Year Treasury Bond ETF,"$23,931,000.00 ","3,525,632"
MDY,SPDR S&P Midcap 400 ETF Trust,"$23,378,500.00 ","718,222"
XLI,Industrial Select Sector SPDR Fund,"$23,355,300.00 ","10,593,954"
USMV,iShares MSCI USA Min Vol Factor ETF,"$23,139,000.00 ","2,132,721"
VGSH,Vanguard Short-Term Treasury ETF,"$22,872,900.00 ","2,263,006"
ACWI,iShares MSCI ACWI ETF,"$22,561,100.00 ","2,897,814"
FBTC,Fidelity Wise Origin Bitcoin Fund,"$22,318,900.00 ","3,483,485"
IUSV,iShares Core S&P U.S. Value ETF,"$22,299,800.00 ","557,242"
SLV,iShares Silver Trust,"$22,187,700.00 ","21,703,639"
