permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
11701,2024-07-01,1,3,3,3,NASDAQ,997.93245
11731,2024-07-01,1,1,2,3,NYSE,2634.84
11775,2024-07-01,1,3,1,2,NASDAQ,318.21306
11790,2024-07-01,1,3,1,2,NASDAQ,197.53784
11803,2024-07-01,1,1,2,3,NASDAQ,515.94582
11844,2024-07-01,1,2,2,3,NASDAQ,787.0151599999999
11884,2024-07-01,1,1,3,2,NASDAQ,3715.74472
12009,2024-07-01,1,2,3,1,NYSE,210.7842
12017,2024-07-01,1,3,1,1,NASDAQ,7.5348
12049,2024-07-01,1,3,1,1,AMEX,33.9104385
12078,2024-07-01,1,1,2,3,AMEX,130.09968
12146,2024-07-01,1,1,1,2,NASDAQ,70.28098
12189,2024-07-01,1,3,2,3,NASDAQ,389.9584
12209,2024-07-01,1,1,3,3,NASDAQ,188.88107
12211,2024-07-01,1,1,3,2,NYSE,1337.67168
12226,2024-07-01,1,2,2,3,NASDAQ,1635.9072000000003
12266,2024-07-01,1,2,1,2,NASDAQ,453.96834
12350,2024-07-01,1,3,1,3,NASDAQ,38.5416
12360,2024-07-01,1,1,1,2,NASDAQ,373.31267
12363,2024-07-01,1,3,1,1,NASDAQ,184.59488
12373,2024-07-01,1,2,1,2,NYSE,3257.7883799999995
12380,2024-07-01,1,1,2,2,NYSE,278.64496
12452,2024-07-01,1,1,3,2,AMEX,145.44485
12477,2024-07-01,1,2,2,2,NYSE,3311.1076
12480,2024-07-01,1,2,2,1,NASDAQ,309.96342
12487,2024-07-01,1,3,2,3,NASDAQ,35.33179
12488,2024-07-01,1,1,1,1,NASDAQ,9.21088
12497,2024-07-01,1,2,1,3,NASDAQ,87.06712
12515,2024-07-01,1,3,2,2,NYSE,2188.13739
12527,2024-07-01,1,3,1,1,AMEX,18.19664
12573,2024-07-01,1,3,1,1,NASDAQ,15.12377
12579,2024-07-01,1,3,1,1,NASDAQ,134.042818
12583,2024-07-01,1,2,2,1,NASDAQ,1319.40737
12592,2024-07-01,1,1,1,3,AMEX,82.06947
12615,2024-07-01,1,3,2,2,NYSE,224.50419
12629,2024-07-01,1,3,1,1,NYSE,186.36516
12781,2024-07-01,1,2,2,2,NYSE,3507.03604
12783,2024-07-01,1,1,2,2,NYSE,1041.87196
12788,2024-07-01,1,2,3,3,NYSE,2612.38146
12796,2024-07-01,1,2,1,2,NYSE,400.77366
12840,2024-07-01,1,3,1,3,AMEX,22.67218
12880,2024-07-01,1,3,3,1,NASDAQ,315.05124
12905,2024-07-01,1,2,3,2,NYSE,823.9350000000002
12913,2024-07-01,1,1,3,3,NASDAQ,1546.48762
12920,2024-07-01,1,3,2,2,NASDAQ,52.06724
15014,2024-07-01,1,1,3,3,NASDAQ,1574.8836
15015,2024-07-01,1,3,1,1,NASDAQ,42.9104
15022,2024-07-01,1,3,2,2,NASDAQ,1146.2415
15046,2024-07-01,1,1,1,2,NYSE,309.25818
15056,2024-07-01,1,1,1,1,NASDAQ,2605.24186
15057,2024-07-01,1,2,1,1,NASDAQ,4.2061116
15058,2024-07-01,1,1,1,3,NASDAQ,1566.1896
15062,2024-07-01,1,1,1,1,NASDAQ,69.54822
15064,2024-07-01,1,3,2,2,NYSE,370.1536
15070,2024-07-01,1,2,2,2,NASDAQ,435.63415
15072,2024-07-01,1,1,3,1,NASDAQ,210.39384
15084,2024-07-01,1,2,2,2,NASDAQ,1909.1895
15087,2024-07-01,1,3,2,1,NASDAQ,67.89234
15092,2024-07-01,1,3,2,3,NYSE,940.0752000000001
15127,2024-07-01,1,1,1,1,NASDAQ,38.177118
15132,2024-07-01,1,1,1,1,NASDAQ,399.00255
15139,2024-07-01,1,1,3,3,NASDAQ,3431.14272
15167,2024-07-01,1,1,2,3,NYSE,3567.24
15168,2024-07-01,1,2,3,3,NYSE,2196.3504
15177,2024-07-01,1,3,1,1,NASDAQ,1.52558
15178,2024-07-01,1,3,2,3,NASDAQ,86.21193
15186,2024-07-01,1,2,1,1,NASDAQ,88.36425
15203,2024-07-01,1,3,2,2,NASDAQ,7.91076
15219,2024-07-01,1,1,1,1,NASDAQ,5.915559900000001
15221,2024-07-01,1,1,1,2,NASDAQ,1958.30421
15222,2024-07-01,1,1,1,3,NASDAQ,2384.39412
15226,2024-07-01,1,1,1,2,NASDAQ,735.6217900000001
15272,2024-07-01,1,2,2,3,NASDAQ,1438.60752
15278,2024-07-01,1,3,1,2,AMEX,25.4796
15285,2024-07-01,1,1,1,1,NASDAQ,503.43008
15293,2024-07-01,1,1,1,3,NASDAQ,2047.726
15294,2024-07-01,1,1,1,3,NASDAQ,205.75590000000003
15302,2024-07-01,1,2,3,3,NASDAQ,1963.028
15318,2024-07-01,1,3,2,2,NYSE,3188.72205
15332,2024-07-01,1,3,2,3,NYSE,2035.78926
15371,2024-07-01,1,1,3,2,NASDAQ,1040.7040000000002
15375,2024-07-01,1,2,1,3,NASDAQ,28.02424
15378,2024-07-01,1,3,1,3,NASDAQ,118.24176
15382,2024-07-01,1,3,1,1,NASDAQ,4.29345
15383,2024-07-01,1,1,2,3,NASDAQ,133.01225
15395,2024-07-01,1,2,3,2,NYSE,1989.126
15398,2024-07-01,1,1,3,3,NYSE,3360.56015
15400,2024-07-01,1,1,3,2,NYSE,2120.6766
15409,2024-07-01,1,1,2,3,NASDAQ,3125.15136
15416,2024-07-01,1,2,1,3,NASDAQ,499.7811
15433,2024-07-01,1,3,1,1,NASDAQ,12.950124
15452,2024-07-01,1,1,2,3,NYSE,2221.99256
15456,2024-07-01,1,3,2,2,NYSE,2360.37256
15457,2024-07-01,1,2,1,2,NASDAQ,587.4799
15489,2024-07-01,1,3,1,1,NYSE,167.712
15490,2024-07-01,1,1,2,3,NASDAQ,3457.468
15491,2024-07-01,1,3,1,1,NASDAQ,6.950381899999999
15493,2024-07-01,1,1,1,2,NASDAQ,42.81632
15506,2024-07-01,1,1,1,1,NASDAQ,341.43692
15510,2024-07-01,1,3,1,1,NASDAQ,12.4782
15527,2024-07-01,1,2,2,3,NYSE,1576.61314
15530,2024-07-01,1,2,3,3,NASDAQ,316.40992
15537,2024-07-01,1,2,2,3,NASDAQ,116.01616
15540,2024-07-01,1,1,1,2,NASDAQ,534.4038
15543,2024-07-01,1,3,1,1,NASDAQ,13.86028
15580,2024-07-01,1,3,1,2,NASDAQ,34.476
15582,2024-07-01,1,1,1,3,NYSE,262.152
15585,2024-07-01,1,2,1,2,NYSE,1658.57064
15631,2024-07-01,1,1,1,1,NASDAQ,70.50114
15639,2024-07-01,1,3,1,1,NASDAQ,111.80312
15642,2024-07-01,1,2,1,1,NASDAQ,18.13236
15643,2024-07-01,1,3,1,3,NASDAQ,2648.31428
15645,2024-07-01,1,2,1,1,NASDAQ,5.93736
15650,2024-07-01,1,1,3,3,NYSE,2588.22135
15658,2024-07-01,1,1,1,1,NASDAQ,577.0089
15664,2024-07-01,1,2,1,3,NASDAQ,10.92615
15775,2024-07-01,1,3,1,1,NASDAQ,78.4663
15776,2024-07-01,1,1,1,2,NASDAQ,357.83912
15784,2024-07-01,1,1,1,1,NASDAQ,107.76247
15787,2024-07-01,1,2,1,1,NASDAQ,17.5485
15795,2024-07-01,1,2,2,2,NASDAQ,3024.27996
15802,2024-07-01,1,3,1,2,NYSE,83.38302000000002
15831,2024-07-01,1,1,1,3,NASDAQ,3848.061
15833,2024-07-01,1,3,1,1,NASDAQ,12.89398
15837,2024-07-01,1,3,2,2,NASDAQ,116.97669
15838,2024-07-01,1,2,2,2,NYSE,536.9056
15840,2024-07-01,1,3,2,3,NASDAQ,112.545
15847,2024-07-01,1,1,1,2,NASDAQ,1573.52898
15853,2024-07-01,1,2,3,3,NASDAQ,355.4754
15856,2024-07-01,1,2,3,3,NASDAQ,430.87352
15860,2024-07-01,1,3,3,1,NYSE,610.82288
15863,2024-07-01,1,3,1,1,NASDAQ,39.4356
15902,2024-07-01,1,3,1,1,NASDAQ,10.09665
15906,2024-07-01,1,3,2,2,NYSE,403.73919
15914,2024-07-01,1,2,1,1,NASDAQ,32.55866
15937,2024-07-01,1,2,1,2,NASDAQ,384.9481
15943,2024-07-01,1,3,1,1,NASDAQ,38.55175
15948,2024-07-01,1,2,2,2,NYSE,1240.03632
15950,2024-07-01,1,1,1,1,NASDAQ,6.5047899
15960,2024-07-01,1,2,1,1,NASDAQ,113.84282
15961,2024-07-01,1,3,1,1,NASDAQ,35.72856
15976,2024-07-01,1,1,1,3,NASDAQ,1745.64537
15995,2024-07-01,1,1,1,1,AMEX,211.823514
16007,2024-07-01,1,1,1,2,NASDAQ,206.04129
16008,2024-07-01,1,1,3,3,NASDAQ,293.0257
16019,2024-07-01,1,1,3,3,NASDAQ,3270.97164
16020,2024-07-01,1,3,1,1,NASDAQ,128.821
16044,2024-07-01,1,2,3,1,NYSE,1587.94059
16049,2024-07-01,1,3,1,1,AMEX,42.5353
16063,2024-07-01,1,3,2,2,NASDAQ,484.18904999999995
16064,2024-07-01,1,1,1,1,NASDAQ,2199.70782
16066,2024-07-01,1,1,1,1,NASDAQ,618.00132
16070,2024-07-01,1,1,1,1,NASDAQ,94.1514
16076,2024-07-01,1,1,3,2,NYSE,3196.26711
16083,2024-07-01,1,1,3,2,NYSE,565.4899800000002
16086,2024-07-01,1,3,3,3,NASDAQ,1081.72967
16097,2024-07-01,1,3,2,2,NASDAQ,494.82867000000005
16099,2024-07-01,1,2,1,1,NASDAQ,9.01472
16111,2024-07-01,1,1,1,1,NASDAQ,138.3396
16126,2024-07-01,1,2,2,3,NYSE,2300.0415
16145,2024-07-01,1,3,1,1,NASDAQ,87.38535
16146,2024-07-01,1,3,1,1,NASDAQ,1.248786
16179,2024-07-01,1,3,1,1,NASDAQ,2.33112
16186,2024-07-01,1,2,2,3,NASDAQ,286.16598
16247,2024-07-01,1,2,1,1,NASDAQ,68.25804
16250,2024-07-01,1,1,1,1,NASDAQ,105.1941
16252,2024-07-01,1,1,1,1,NASDAQ,19.45842
16253,2024-07-01,1,2,2,2,NASDAQ,2654.76804
16255,2024-07-01,1,2,1,1,NASDAQ,39.78964
16263,2024-07-01,1,1,1,3,NASDAQ,2036.1033
16276,2024-07-01,1,3,2,2,NYSE,614.69148
16277,2024-07-01,1,1,3,2,NYSE,1747.81992
16284,2024-07-01,1,2,2,2,NASDAQ,3617.9136800000006
16287,2024-07-01,1,1,2,1,NASDAQ,1456.14384
16290,2024-07-01,1,3,1,1,NASDAQ,593.74044
16310,2024-07-01,1,3,1,2,NASDAQ,20.7298
16319,2024-07-01,1,2,2,2,NYSE,1833.94164
16376,2024-07-01,1,3,1,1,NASDAQ,2.3222
16377,2024-07-01,1,2,1,3,NASDAQ,3.6177241
16381,2024-07-01,1,1,2,3,NASDAQ,3012.18495
16386,2024-07-01,1,1,1,2,NASDAQ,3359.4444
16392,2024-07-01,1,1,2,3,NASDAQ,129.72543
16401,2024-07-01,1,3,1,2,NASDAQ,157.85656
16432,2024-07-01,1,3,2,2,NASDAQ,3231.19745
16436,2024-07-01,1,2,3,2,NYSE,2757.79868
16437,2024-07-01,1,1,3,2,NYSE,804.98592
16442,2024-07-01,1,3,2,3,NYSE,268.56936
16448,2024-07-01,1,2,2,1,NYSE,480.02625
16458,2024-07-01,1,1,1,2,NASDAQ,28.14592
16463,2024-07-01,1,3,1,1,AMEX,40.56964
16471,2024-07-01,1,3,2,2,NASDAQ,81.80681
16472,2024-07-01,1,1,1,1,NASDAQ,48.45189
16473,2024-07-01,1,2,1,1,NASDAQ,6.27187
16497,2024-07-01,1,2,3,1,NASDAQ,533.91954
16499,2024-07-01,1,3,1,2,NYSE,3154.75804
16522,2024-07-01,1,2,2,2,NASDAQ,371.2072
16528,2024-07-01,1,3,1,2,NASDAQ,7.007238
16532,2024-07-01,1,2,1,3,NASDAQ,2.96352
16533,2024-07-01,1,1,1,1,NASDAQ,3.97836
16541,2024-07-01,1,3,1,1,NASDAQ,6.22426
16542,2024-07-01,1,2,1,2,NASDAQ,74.99744
16543,2024-07-01,1,2,2,2,NASDAQ,601.88253
16548,2024-07-01,1,2,3,2,NYSE,2271.00816
16554,2024-07-01,1,2,3,1,NYSE,1158.23142
16555,2024-07-01,1,2,2,2,NYSE,1184.17287
