time_idx,time,n_options,full_time_ms,incremental_time_ms,speedup
0,2024-11-05 10:00:00-05:00,365,538.8291050039697,,
1,2024-11-05 10:01:00-05:00,419,138.32057599211112,24.52130601159297,5.64083234093311
2,2024-11-05 10:02:00-05:00,420,21.797405992401764,15.750756982015446,1.3838957719486442
3,2024-11-05 10:03:00-05:00,420,12.285131000680849,10.845301003428176,1.13276072252836
4,2024-11-05 10:04:00-05:00,420,10.808691993588582,15.245108981616795,0.7089940784695056
5,2024-11-05 10:05:00-05:00,420,11.015473981387913,10.95541098038666,1.0054824963763371
6,2024-11-05 10:06:00-05:00,420,22.852744994452223,28.718741988996044,0.7957432468040747
7,2024-11-05 10:07:00-05:00,420,18.536165996920317,16.990737000014633,1.0909571489985603
8,2024-11-05 10:08:00-05:00,420,19.40133501193486,14.629257988417521,1.326200893257577
9,2024-11-05 10:09:00-05:00,421,11.301327002001926,16.45849901251495,0.6866559941710639
10,2024-11-05 10:10:00-05:00,421,107.33265400631353,19.788108009379357,5.4240988555064975
11,2024-11-05 10:11:00-05:00,421,115.98794598830864,31.4161830174271,3.6919808470675166
12,2024-11-05 10:12:00-05:00,421,89.10899600596167,11.328466993290931,7.865935969865541
13,2024-11-05 10:13:00-05:00,420,9.04962801723741,9.142536000581458,0.9898378323762532
14,2024-11-05 10:14:00-05:00,419,18.878806004067883,13.024792016949505,1.449451628824506
15,2024-11-05 10:15:00-05:00,419,19.509940990246832,12.171965994639322,1.6028586506764184
16,2024-11-05 10:16:00-05:00,419,7.476980012143031,6.5445420041214675,1.1424756701743766
17,2024-11-05 10:17:00-05:00,420,7.4897719896398485,18.79187999293208,0.3985642731039613
18,2024-11-05 10:18:00-05:00,420,7.519519014749676,14.9808689893689,0.5019414441235596
19,2024-11-05 10:19:00-05:00,419,6.087927002226934,19.162042008247226,0.31770763260025875
20,2024-11-05 10:20:00-05:00,419,12.768406013492495,9.333467023679987,1.3680239059181016
21,2024-11-05 10:21:00-05:00,419,13.646660023368895,8.706259017344564,1.567453942753379
22,2024-11-05 10:22:00-05:00,419,24.091063009109348,14.753105991985649,1.6329485480682082
23,2024-11-05 10:23:00-05:00,419,12.586701981490478,7.65914301155135,1.643356438508524
24,2024-11-05 10:24:00-05:00,419,22.72313999128528,12.329804972978309,1.8429439914974115
25,2024-11-05 10:25:00-05:00,419,20.053841988556087,45.77614599838853,0.43808497965866433
26,2024-11-05 10:26:00-05:00,419,11.356160015566275,30.52966299583204,0.3719713518330234
27,2024-11-05 10:27:00-05:00,419,11.566218017833307,18.793593015288934,0.6154341007823239
28,2024-11-05 10:28:00-05:00,419,11.589653004193678,4.256877000443637,2.7225717358020547
29,2024-11-05 10:29:00-05:00,419,7.612755987793207,16.00173400947824,0.4757456900160929
